Land,Open,CPR,Photos,Status,MLS#,Price,Original Price,$ Change,% Change,Region,Neighborhood,Address,City,Zip,Parcel Number,Zone,Section,Plat,Parcel/Lot,CPR,Terms,Sold Price,Sold Date,Sold Ratio,Orig. Ratio,Concessions,Beds,Bath,Living Sq Ft,Average Living,Land Sq Ft,Acres,Average Land,Year,Remodeled,List Date,Days,Condition,Tax,Maint. Fee,Assoc. Fee,Other Fee,Fee Includes,Total Fees,Land,Building,Assessed Total,Assessed Ratio,Elementary,Junior High,High,Zoning,Flood Zone,Seller's Agent,Seller's Office,Buyer's Agent,Buyer's Office,View,Frontage,Pool,Parking,Flooring,Roofing,Roads,Easements,Topography,Stories
FS,,,25,Sold,202128684,885000,885000,0,0,DiamondHd,Palolo,2201 Helo Place ,Honolulu,96816,1-3-4-030-052-0000,3,4,30,52,0,None,988000,12/22/2021,1.1164,0.8957,,4,3,2141,413.3582438,6474,0.15,136.7006487,1954,2005,11/17/2021,10,Above Average,199,0,0,0,,0,647600,135400,783000,1.1303,Palolo,Jarrett,Kaimuki,05 - R-5 Residential District,Zone X,Wendy Lee Akai,BHGRE Advantage Realty,Caron A Ling,Keller Williams Honolulu,Mountain,,None,"1 Car,Carport,Street","Ceramic Tile,Hardwood,Laminate","Asphalt Shingle,Other",Paved Rd,"Electric,Other",Up Slope,Two
FS,,,25,Sold,202126031,975000,975000,0,0,Metro,Alewa Heights,1607 Alewa Drive ,Honolulu,96817,1-1-8-030-002-0000,1,8,30,2,0,None,925000,12/22/2021,0.9487,1.0541,,3,1,916,1064.41048,9795,0.22,99.54058193,1954,1955,10/18/2021,23,Average,239,0,0,0,,0,889900,27400,917300,1.0629,Maemae,Kawananakoa,Mckinley,05 - R-5 Residential District,Zone X,Galen Miura,Hawaii Life,Jesse N Kaneshiro,Nalu Realty LLC,City,,None,"3 Car+,Carport,Driveway","Hardwood,Laminate,Vinyl",Composition,"County Rd,Paved Rd",Sewer,"Gentle Slope,Level",One
FS,,,16,Sold,202128452,1109999,1109999,0,0,Metro,Makiki Area,1825 Makiki Street ,Honolulu,96822,1-2-4-023-052-0000,2,4,23,52,0,None,1250000,12/22/2021,1.1261,0.888,,4,2,1376,806.6853198,5525,0.13,200.9047964,1969,1976,11/4/2021,11,Average,248,0,0,0,,0,876700,111900,988600,1.1228,Lincoln,Stevenson,Roosevelt,05 - R-5 Residential District,Zone X,Ronald N Lee,Coldwell Banker Realty,Lily FK Miyashiro,Summit Properties of Hawaii,City,,None,"3 Car+,Carport,Driveway","Ceramic Tile,Hardwood",Wood Shake,Paved Rd,None,Level,"One,Split Level"
FS,,,25,Sold,202127295,1250000,1250000,0,0,Metro,Punchbowl Area,1662 Kamamalu Avenue ,Honolulu,96813,1-2-2-003-092-0000,2,2,3,92,0,None,1500000,12/22/2021,1.2,0.8333,,2,2,1421,879.6622097,2281,0.05,548.0052609,2015,,11/3/2021,8,Excellent,164,0,0,0,,0,439400,262500,701900,1.7809,,,,07 - R-3.5 Residential District,Zone X,Kathy Grindle,Coldwell Banker Realty,C. Maureen O'Guin,Carvill Sotheby's Intl. Realty,"City,Mountain,Ocean,Sunset",,None,"3 Car+,Driveway,Garage,Street","Ceramic Tile,Hardwood","Asphalt Shingle,Other","County Rd,Paved Rd",None,Steep Slope,Two
FS,,,22,Sold,202124571,1388800,1388800,0,0,HawaiiKai,Kalama Valley,607 Kealahou Street ,Honolulu,96825,1-3-9-092-010-0000,3,9,92,10,0,None,1400000,12/22/2021,1.0081,0.992,,4,2,1556,892.5449871,5043,0.12,275.391632,1977,2020,10/22/2021,19,Above Average,335,0,0,0,,0,691500,203000,894500,1.5526,Kamiloiki,Niu Valley,Kaiser,05 - R-5 Residential District,Zone D,Leana Berwick,Corcoran Pacific Properties,Sandra Sagisi Moser,eXp Realty,"Garden,Mountain",,In Ground,"3 Car+,Driveway,Garage,Street","Other,Vinyl",Composition,Paved Rd,None,Level,One
FS,,Yes,25,Sold,202115452,1450000,1500000,-50000,-0.0333,DiamondHd,Kapahulu,3124 Winam Avenue 3124,Honolulu,96816,1-3-1-003-002-0001,3,1,3,2,1,None,1450000,12/22/2021,1,1.0345,,5,4,2607,556.19486,2950,0.07,491.5254237,2020,,6/12/2021,120,Excellent,670,0,0,0,,0,642000,694600,1336600,1.0848,Waikiki,Kaimuki,Kalani,07 - R-3.5 Residential District,Zone X,Jane D Le Wright,Locations LLC,Cody-Allen S Ching,Kidani Realty LLC,"City,Diamond Head",,None,"3 Car+,Carport,Driveway,Street",Ceramic Tile,Asphalt Shingle,"County Rd,Paved Rd,Private Rd",Sewer,Level,Two
FS,,,20,Sold,202124556,1050000,1100000,-50000,-0.0455,HawaiiKai,Kalama Valley,1422 Honokahua Street ,Honolulu,96825,1-3-9-097-030-0000,3,9,97,30,0,None,999999,12/21/2021,0.9524,1.1,,3,2,1380,760.8695652,5016,0.12,209.3301435,1980,2021,9/26/2021,40,Above Average,223,0,0,0,,0,557000,206700,763700,1.3749,,,,05 - R-5 Residential District,Zone D,Derek Kamm,Coldwell Banker Realty,Jennifer Melchor Sison,Coldwell Banker Realty,Mountain,,None,"3 Car+,Driveway,Garage,Street","Ceramic Tile,W/W Carpet",Asphalt Shingle,Paved Rd,None,Level,Two
FS,,,25,Sold,202120963,1550000,1550000,0,0,DiamondHd,St. Louis,1641 St Louis Drive ,Honolulu,96816,1-3-3-053-022-0000,3,3,53,22,0,None,1450000,12/21/2021,0.9355,1.069,,8,5,2595,597.3025048,8157,0.19,190.020841,1950,2018,8/17/2021,69,"Above Average,Average,Fair",291,0,0,0,,0,943700,119900,1063600,1.4573,Hokulani,Jarrett,Kaimuki,05 - R-5 Residential District,Zone X,Grace M Koreyasu,BHGRE Advantage Realty,Annie Luo McCrea,Coldwell Banker Realty,"City,Coastline,Diamond Head,Mountain,Ocean,Sunset",,None,"2 Car,Carport,Street","Ceramic Tile,Laminate,Vinyl,W/W Carpet",Asphalt Shingle,County Rd,Sewer,"Down Slope,Terraced","Basement,Three+,Split Level"
FS,,,20,Sold,202126088,930000,899000,31000,0.0345,DiamondHd,Palolo,2035 9th Avenue ,Honolulu,96816,1-3-4-001-071-0000,3,4,1,71,0,None,930000,12/20/2021,1,0.9667,30000,2,1,698,1332.378223,5185,0.12,179.3635487,1948,2021,10/18/2021,17,Above Average,156,0,0,0,,0,535900,0,535900,1.7354,,,,05 - R-5 Residential District,Zone X,Reid K Okumura,Heyer & Associates LLC,Bridget Eileen Townsend,Corcoran Pacific Properties,"City,Mountain",,None,2 Car,"Vinyl,W/W Carpet",Asphalt Shingle,"County Rd,Paved Rd",None,Gentle Slope,One
FS,,,21,Sold,202126193,965000,965000,0,0,Metro,Kalihi-lower,2019 Kamehameha IV Road ,Honolulu,96819,1-1-3-031-042-0000,1,3,31,42,0,None,955000,12/20/2021,0.9896,1.0105,,5,1.1,1460,660.9589041,5217,0.12,184.9722062,1964,1972,10/18/2021,16,Excellent,247,0,0,0,,0,655000,189000,844000,1.1434,Kaewai,Dole,Farrington,05 - R-5 Residential District,Zone X,Sandra S Omiya,"One Realty, Incorporated",Aileen U Andres,Engel & Volkers-Honolulu,None,,None,"2 Car,Carport","Vinyl,W/W Carpet",Other,County Rd,Other,Other,Two
FS,,,25,Sold,202121618,1095000,1250000,-155000,-0.124,Metro,Moanalua Gardens,2039 Mahaoo Place ,Honolulu,96819,1-1-1-037-056-0000,1,1,37,56,0,None,1097000,12/17/2021,1.0018,1.1395,,5,3,2170,504.6082949,6946,0.16,157.6446876,1966,,9/9/2021,36,Average,235,0,0,0,,0,749000,195500,944500,1.1593,,,,05 - R-5 Residential District,Zone X,Craig J Shinsato,Tom Shinsato Realty Inc.,Jeanne Frace,Redfin Corporation,"City,Coastline",,None,3 Car+,"Hardwood,Laminate",Aluminum/Steel,None,None,"Gentle Slope,Terraced",Two
FS,,,23,Sold,202126774,1100000,1100000,0,0,DiamondHd,Kapahulu,3601 Kanaina Avenue ,Honolulu,96815,1-3-1-024-058-0000,3,1,24,58,0,None,1270000,12/17/2021,1.1545,0.8661,,2,2,1306,842.2664625,2925,0.07,376.0683761,1999,,10/27/2021,10,Excellent,245,0,0,0,,0,681600,364500,1046100,1.0515,Waikiki,Kaimuki,Kalani,07 - R-3.5 Residential District,Zone X,Philia K Lau,Coldwell Banker Realty,Sue Jo,BHGRE Advantage Realty,"Diamond Head,Mountain",Other,None,"2 Car,Driveway,Garage,Street","Laminate,Vinyl",Composition,Paved Rd,Driveway,Level,Two
FS,,,25,Sold,202127226,1249999,1249999,0,0,HawaiiKai,Mariners Valley,7223 Kipu Place ,Honolulu,96825,1-3-9-059-088-0000,3,9,59,88,0,None,1350000,12/17/2021,1.08,0.9259,,3,2,1328,941.2643072,5400,0.12,231.4812963,1970,2015,11/3/2021,9,Above Average,255,0,0,0,,0,731200,243500,974700,1.2824,Kamiloiki,Niu Valley,Kaiser,05 - R-5 Residential District,Zone D,Denise L Miyahira,Island Pacific Real Estate LLC,Andy T Chen,808 Hawaii Properties LLC,Garden,,None,"2 Car,Driveway,Street","Hardwood,Laminate",Wood Shake,Paved Rd,Drainage,Level,One
FS,,,19,Sold,202127185,999000,999000,0,0,Metro,Kamehameha Heights,1904 Houghtailing Street ,Honolulu,96817,1-1-6-018-007-0000,1,6,18,7,0,None,1140000,12/16/2021,1.1411,0.8763,,6,3,1802,554.3840178,6105,0.14,163.6363636,1941,2013,11/3/2021,7,"Average,Fair",256,0,0,0,,0,775600,102300,877900,1.1379,,,,05 - R-5 Residential District,Zone X,Sean Sonoda,Keller Williams Honolulu,Joanna YH Zheng,HomeSmart Island Homes,None,,None,"3 Car+,Carport,Driveway,Street","Ceramic Tile,Laminate,Vinyl,W/W Carpet",Asphalt Shingle,County Rd,None,Gentle Slope,One
FS,,,18,Sold,202126399,795000,795000,0,0,Metro,Kalihi-upper,2330 Jennie Street ,Honolulu,96819,1-1-3-033-025-0000,1,3,33,25,0,None,885000,12/15/2021,1.1132,0.8983,,3,1.1,1008,788.6904762,5036,0.12,157.8633836,1960,,10/26/2021,11,Average,170,0,0,0,,0,648000,73400,721400,1.102,,,,05 - R-5 Residential District,Zone X,Calen M Kim-Walker,Coldwell Banker Realty,Sandy T Ho,Realty Prime LLC,None,,None,"2 Car,Carport,Street","Vinyl,W/W Carpet",Other,Paved Rd,None,Level,One
FS,,,17,Sold,202120719,909000,909000,0,0,Metro,Moanalua Gardens,1614 Haku Street ,Honolulu,96819,1-1-1-036-016-0000,1,1,36,16,0,None,920000,12/15/2021,1.0121,0.988,,3,1.1,1284,707.9439252,7882,0.18,115.3260594,1963,,9/27/2021,16,Average,205,0,0,0,,0,709900,156800,866700,1.0488,Moanalua,Moanalua,Moanalua,04 - R-7.5 Residential District,Zone X,Tom Mukai,Locations LLC,Jason He,"Five Star Realty, Inc.","None,Sunrise",,None,"3 Car+,Boat,Driveway","Hardwood,Other,W/W Carpet","Aluminum/Steel,Other",Paved Rd,None,"Level,Terraced",One
FS,,,20,Sold,202126502,940000,940000,0,0,DiamondHd,Palolo,2050 9th Avenue ,Honolulu,96816,1-3-4-002-025-0000,3,4,2,25,0,None,987000,12/15/2021,1.05,0.9524,,3,1,892,1053.811659,5621,0.13,167.2300302,1944,2021,10/29/2021,10,Excellent,221,0,0,0,,0,603600,156100,759700,1.2373,,,,05 - R-5 Residential District,Zone X,Kina Knisley,Keller Williams Honolulu,Fran Gendrano,"KFG Properties, Inc.",Mountain,,None,"2 Car,Carport,Street",Laminate,Asphalt Shingle,Paved Rd,None,Level,One
FS,,,15,Sold,202124173,950000,950000,0,0,Metro,Punchbowl Area,1666 Lusitana Street D,Honolulu,96813,1-2-2-002-112-0000,2,2,2,112,0,None,900000,12/15/2021,0.9474,1.0556,,3,2,1310,725.1908397,2360,0.05,402.5423729,1985,2018,9/20/2021,37,Excellent,186,0,0,0,,0,501000,237700,738700,1.286,,,,07 - R-3.5 Residential District,Zone X,Robert F Davison,Corcoran Pacific Properties,Ciara Noguchi-Yuh,Coldwell Banker Realty,City,,None,"2 Car,Street","Ceramic Tile,Vinyl",Composition,Paved Rd,None,Level,Two
FS,,,25,Sold,202129734,970000,970000,0,0,Metro,Kalihi Valley,2921 Laelae Way ,Honolulu,96819,1-1-4-008-017-0000,1,4,8,17,0,None,1025000,12/15/2021,1.0567,0.9463,,7,4,3231,300.2166512,5723,0.13,169.4915254,1965,2014,11/28/2021,5,Average,214,0,0,0,,0,580100,290300,870400,1.1144,,,,04 - R-7.5 Residential District,Zone X,Antonnietta M Palacio,Coldwell Banker Realty,Charlene Tongg,Keller Williams Honolulu,"Mountain,Ocean,Other",Other,None,"2 Car,Carport,Street","Laminate,Vinyl",Asphalt Shingle,Paved Rd,None,"Level,Other",Two
FS,,,20,Sold,202123644,1199000,1199000,0,0,Metro,Pauoa Valley,2560 Booth Road ,Honolulu,96813,1-2-2-024-096-0000,2,2,24,96,0,None,1140000,12/15/2021,0.9508,1.0518,,6,4,2645,453.3081285,5780,0.13,207.4394464,1980,2021,9/10/2021,39,Excellent,245,0,0,0,,0,577200,262000,839200,1.4287,,,,05 - R-5 Residential District,Zone X,Shirley X Zhai,"Premium Properties, LLC",Searle K Chong,Coldwell Banker Realty,Other,Other,None,"2 Car,Carport,Driveway,Street","Ceramic Tile,Laminate,Vinyl",Asphalt Shingle,Paved Rd,"Electric,Telephone","Gentle Slope,Level",Two
FS,,Yes,25,Sold,202123983,1265000,1265000,0,0,Metro,Kamehameha Heights,1853A Makuahine Place ,Honolulu,96817,1-1-6-028-046-0002,1,6,28,46,2,None,1165000,12/15/2021,0.9209,1.0858,,8,3.1,2690,470.260223,4963,0.11,254.8861576,1962,2009,9/16/2021,23,Above Average,231,0,0,0,,0,614900,277500,892400,1.4175,,,,05 - R-5 Residential District,Zone X,Glad Bautista,Coldwell Banker Realty,Ruwena D Baetiong,Locations LLC,"City,Mountain,Sunset",,None,"3 Car+,Carport,Driveway,Street","Ceramic Tile,Laminate","Asphalt Shingle,Other",County Rd,Other,Level,Two
FS,,,24,Sold,202125463,1275000,1300000,-25000,-0.0192,Metro,Kamehameha Heights,2147 Makanani Drive ,Honolulu,96817,1-1-6-019-100-0000,1,6,19,100,0,None,1230000,12/15/2021,0.9647,1.0569,,5,3,1880,678.1914894,6002,0.14,212.4291903,1954,2021,10/22/2021,9,Above Average,280,0,0,0,,0,735100,223600,958700,1.3299,,,,05 - R-5 Residential District,Zone X,Robin P Boolukos,Forward Realty,Summer X Xie,"Five Star Realty, Inc.","Cemetery,City,Mountain,Ocean,Sunset",Other,None,"2 Car,Carport,Street","Ceramic Tile,Vinyl",Other,"County Rd,Paved Rd",None,Steep Slope,Two
FS,,Yes,15,Sold,202116772,850000,1275000,-425000,-0.3333,DiamondHd,Palolo,Lot 52 B & C Lai Road 2-3,Honolulu,96816,1-3-4-019-056-0002,3,4,19,56,2,None,814000,12/14/2021,0.9576,1.5663,,0,0,0,$INF,37612,0.86,22.59917048,0,,6/29/2021,138,Excellent,190,0,0,0,,0,6508,17500,668300,1.2719,,,,05 - R-5 Residential District,Zone X,Patty Bell,Carvill Sotheby's Intl. Realty,Paris K Chai,Hawai'i Nei Realty LLC,"Garden,Mountain,Other",,None,"3 Car+,Boat,Street",Other,Other,"County Rd,Paved Rd","Sewer,Water","Down Slope,Gentle Slope,Hilly,Level,Steep Slope","Basement,One,Two,Three+,Split"
FS,,,13,Sold,202119801,999000,999000,0,0,Metro,Alewa Heights,1122 Alewa Drive ,Honolulu,96817,1-1-8-033-043-0000,1,8,33,43,0,None,1050000,12/14/2021,1.0511,0.9514,,3,2,1560,640.3846154,3427,0.08,291.5086081,1965,2019,9/6/2021,12,Excellent,1,0,0,0,,0,1,1,1,999000,,,,05 - R-5 Residential District,Zone X,Cynthia Matsuki,AMG Realty Inc,Mei Pang,BHGRE Advantage Realty,"City,Coastline,Diamond Head,Ocean,Sunset",,None,"2 Car,Driveway,Garage,Street","Ceramic Tile,Vinyl",Asphalt Shingle,Paved Rd,"Sewer,Water",Up Slope,One
FS,,,23,Sold,202128832,1100000,1100000,0,0,Metro,Mccully,750 Mccully Street ,Honolulu,96826,1-2-3-030-001-0000,2,3,30,1,0,None,1305000,12/14/2021,1.1864,0.8429,,5,2,952,1155.462185,5000,0.11,220,1948,,11/15/2021,9,Fair,323,0,0,0,,0,1050000,56300,1106300,0.9943,,,,12 - A-2 Medium Density Apartme,Zone AO,Chad M Takesue,Locations LLC,Stephanie L Chan,Locations LLC,City,Other,None,"3 Car+,Driveway","Vinyl,W/W Carpet",Asphalt Shingle,County Rd,None,Level,Two
FS,,,23,Sold,202124357,1399000,1399000,0,0,HawaiiKai,Kamehame Ridge,1049 Kamehame Drive ,Honolulu,96825,1-3-9-101-051-0000,3,9,101,51,0,None,1450000,12/14/2021,1.0365,0.9648,,3,3,1763,793.5337493,16787,0.39,83.33829749,1984,,9/21/2021,19,Above Average,284,0,0,0,,0,833900,280800,1114700,1.255,Kamiloiki,Niu Valley,Kaiser,03 - R10 - Residential District,Zone D,Jennifer AS Ishii,Locations LLC,Bryn W Kaufman,OahuRE.com,"Mountain,Ocean,Sunrise",,"Above Ground,Heated","3 Car+,Boat,Driveway,Garage,Street","Vinyl,W/W Carpet",Other,Paved Rd,None,"Down Slope,Steep Slope",Two
FS,,Yes,21,Sold,202126720,1016000,1016000,0,0,DiamondHd,Kuliouou,155 Kaeleloi Place 9A,Honolulu,96821,1-3-8-018-009-0001,3,8,18,9,1,None,1125000,12/13/2021,1.1073,0.9031,,3,2,1418,716.5021157,4015,0.09,253.0510585,1988,,10/25/2021,10,"Above Average,Average",199,0,125,0,,125,621200,201500,822700,1.235,,,,04 - R-7.5 Residential District,Zone D,Ronald N Lee,Coldwell Banker Realty,Mimi Bornhorst Gaddis,Berkshire Hathaway HmSvc HI RE,"Mountain,Ocean",,None,"2 Car,Garage","Laminate,W/W Carpet",Composition,"County Rd,Paved Rd",None,"Gentle Slope,Level",Two
FS,,,1,Sold,202130734,961875,961875,0,0,Metro,Kalihi Uka,1571 Ahihi Street ,Honolulu,96819,1-1-4-001-034-0000,1,4,1,34,0,None,961875,12/10/2021,1,1,,4,3.1,2396,401.4503339,2509,0.06,383.3698685,2007,,10/8/2021,63,Average,176,0,0,0,,0,372200,376100,703300,1.3677,,,,07 - R-3.5 Residential District,Zone X,Fabian Batey,Coldwell Banker Realty,NON MLS,Non-MLS,"City,Mountain,Ocean,Sunset",Other,None,2 Car,"Ceramic Tile,Vinyl",Composition,Paved Rd,Other,Level,Three+
FS,,,25,Sold,202121773,1070000,1278000,-208000,-0.1628,HawaiiKai,Kalama Valley,814 Kealahou Street ,Honolulu,96825,1-3-9-103-003-0000,3,9,103,3,0,None,995000,12/10/2021,0.9299,1.2844,,3,2,1257,851.2330947,7013,0.16,152.5737915,1985,2006,8/25/2021,77,Above Average,250,0,0,0,,0,653200,289900,943100,1.1346,,,,05 - R-5 Residential District,Zone D,Carlin Yamashita,Island Life Homes,Darcy G Thiele,Hoku Real Estate,"Mountain,Ocean",,None,"2 Car,Driveway,Garage","Ceramic Tile,Laminate",Tile,County Rd,"Electric,Other,Telephone","Hilly,Level",Two
FS,,,18,Sold,202125774,1160000,1160000,0,0,Metro,Moanalua Gardens,2023 Mahaoo Place ,Honolulu,96819,1-1-1-037-051-0000,1,1,37,51,0,None,1205000,12/10/2021,1.0388,0.9627,,3,2,1396,830.9455587,6465,0.15,179.4276875,1967,,10/19/2021,9,Above Average,262,0,0,0,,0,756700,140600,897300,1.2928,Moanalua,Moanalua,Moanalua,05 - R-5 Residential District,Zone X,Karen K Moon,Engel & Volkers-Honolulu,Thompson H Pham,"Five Star Realty, Inc.",Other,Other,None,"2 Car,Garage","Hardwood,Vinyl,W/W Carpet",Other,"County Rd,Paved Rd",Other,Gentle Slope,One
FS,,,22,Sold,202125326,1200000,1200000,0,0,DiamondHd,Kaimuki,858 10th Avenue ,Honolulu,96816,1-3-2-021-026-0000,3,2,21,26,0,None,1218000,12/10/2021,1.015,0.9852,,5,2,1258,953.8950715,5000,0.11,240,1917,,10/4/2021,7,Average,25,0,0,0,,0,830000,253800,1083800,1.1072,Liholiho,Kaimuki,Kalani,05 - R-5 Residential District,Zone X,Sunny F Lee-Oshiro,Coldwell Banker Realty,Ben Fieman,Compass,"Diamond Head,Mountain",,None,"3 Car+,Carport,Driveway,Street","Hardwood,Vinyl",Asphalt Shingle,Paved Rd,None,Level,Two
